Source,Summary sentence,Factoids
,"The 5G Core Network introduced in 3GPP Release 15 adopts a Service-Based Architecture (SBA), where network functions expose services via standardized APIs (primarily HTTP/2 + JSON).","""5G Core Network is introduced in 3GPP Release 15"",
""5G Core Network adopts architecture SBA"",
""Network Function exposes Service"",
""Service is available via API (HTTP/2 + JSON)"",
""API uses protocol HTTP/2"",
""API uses format JSON"""
,SBA enables dynamic service discovery and direct NF-to-NF communication without requiring intermediaries or brokers.,"""Service-Based Architecture (SBA) enables dynamic service discovery"",
""Service-Based Architecture (SBA) enables direct NF-to-NF communication"",
""Direct NF-to-NF communication does not require intermediaries or brokers""
"
,The SBA model decouples the service consumer from the service provider through the use of a Network Repository Function (NRF).,"""SBA model decouples service consumer from service provider"",
""SBA model achieves decoupling via Network Repository Function (NRF)"",
""Network Repository Function (NRF) mediates interaction between service consumer and service provider"""
,"SBA supports horizontal scalability and modularity by treating every function (e.g., AMF, SMF, PCF) as an independent service.","""Service-Based Architecture (SBA) supports horizontal scalability"",
""Service-Based Architecture (SBA) supports modularity"",
""Service-Based Architecture (SBA) treats AMF as an independent service"",
""Service-Based Architecture (SBA) treats SMF as an independent service"",
""Service-Based Architecture (SBA) treats PCF as an independent service"""
,"5G core and RAN functions are designed as cloud-native components that follow the principles of containerization, statelessness, and modularity.","""5G core functions are designed as cloud-native components"",
""RAN functions are designed as cloud-native components"",
""Cloud-native components follow the principle of containerization"",
""Cloud-native components follow the principle of statelessness"",
""Cloud-native components follow the principle of modularity"""
,"Network Functions (NFs) are implemented as microservices, enabling CI/CD deployment, independent updates, and fine-grained scaling.","""Network Functions (NFs) are implemented as microservices"",
""Microservices enable CI/CD deployment"",
""Microservices enable independent updates"",
""Microservices enable fine-grained scaling"""
,"Each NF runs in isolated execution environments, typically containers orchestrated via Kubernetes or other NFVO frameworks.","""Network Function (NF) runs in isolated execution environments"",
""Isolated execution environments are typically realized as containers"",
""Containers are orchestrated via Kubernetes"",
""Containers may be orchestrated via NFVO frameworks"""
,The use of microservices and container platforms supports vendor-agnostic and hardware-agnostic deployments in hybrid cloud environments.,"""Microservices support vendor-agnostic deployments"",
""Microservices support hardware-agnostic deployments"",
""Container platforms support vendor-agnostic deployments"",
""Container platforms support hardware-agnostic deployments"",
""Vendor-agnostic deployments occur in hybrid cloud environments"",
""Hardware-agnostic deployments occur in hybrid cloud environments"""
,"These cloud-native features allow for slicing, multi-tenancy, and elasticity in managing network resources.","""Cloud-native features allow slicing"",
""Cloud-native features allow multi-tenancy"",
""Cloud-native features allow elasticity"",
""Slicing is used in managing network resources"",
""Multi-tenancy is used in managing network resources"",
""Elasticity is used in managing network resources"""
,"5G continues the Control and User Plane Separation (CUPS) principle introduced in 3GPP Rel‑14, allowing independent placement and scaling of control-plane (AMF, SMF) and user-plane (UPF) functions.","""5G continues Control and User Plane Separation (CUPS) principle"",
""Control and User Plane Separation (CUPS) principle was introduced in 3GPP Release 14"",
""CUPS principle allows independent placement of control-plane functions"",
""CUPS principle allows independent scaling of control-plane functions"",
""CUPS principle allows independent placement of user-plane functions"",
""CUPS principle allows independent scaling of user-plane functions"",
""Control-plane functions include AMF"",
""Control-plane functions include SMF"",
""User-plane functions include UPF"""
,"CUPS enables deploying UPF close to the network edge for latency-sensitive services, while control-plane functions remain centralized.","""CUPS enables deploying UPF close to the network edge"",
""UPF close to the network edge supports latency-sensitive services"",
""Control-plane functions remain centralized"""
,Separation of control and user planes enhances fault isolation and resource utilization across the network.,"""Separation of control and user planes (CUPS) enhances fault isolation"",
""Separation of control and user planes (CUPS) enhances resource utilization"",
""Resource utilization occurs in the network"""
,CUPS is a prerequisite for enabling flexible and performant network slicing and multi-access edge computing (MEC).,"""CUPS is a prerequisite for flexible network slicing"",
""CUPS is a prerequisite for performant network slicing"",
""CUPS is a prerequisite for multi-access edge computing (MEC)"""
,"In 5G SBA, core functions like AMF, SMF, AUSF, and UDM can operate statelessly by offloading UE context to an external Unstructured Data Storage Function (UDSF).","""5G SBA enables stateless operation of AMF"",
""5G SBA enables stateless operation of SMF"",
""5G SBA enables stateless operation of AUSF"",
""5G SBA enables stateless operation of UDM"",
""AMF offloads UE context to Unstructured Data Storage Function (UDSF)"",
""SMF offloads UE context to Unstructured Data Storage Function (UDSF)"",
""AUSF offloads UE context to Unstructured Data Storage Function (UDSF)"",
""UDM offloads UE context to Unstructured Data Storage Function (UDSF)"",
""Offloading UE context to UDSF enables stateless operation"""
,"Stateless NFs gain elasticity and failure resilience, enabling container-based deployments and fast restarts without local state loss.","""Stateless NFs gain elasticity"",
""Stateless NFs gain failure resilience"",
""Stateless NFs enable container-based deployments"",
""Stateless NFs enable fast restarts"",
""Fast restarts occur without local state loss"""
,"UDSF acts as a centralized, non-relational key-value store, enabling fast read/write of UE-related state.","""UDSF acts as centralized non-relational key-value store"",
""UDSF enables fast read/write of UE-related state"",
""Fast read/write operates on UE-related state"""
,"Stateful NFs are tightly coupled with internal UE context, causing failure risks and scaling limitations.","""Stateful NFs are tightly coupled with internal UE context"",
""Stateful NFs tightly coupled with internal UE context incur failure risks"",
""Stateful NFs tightly coupled with internal UE context incur scaling limitations"""
,NG‑RAN is split into gNB‑DU for real-time processing and gNB‑CU for centralized control and core interfacing.,"""NG-RAN is split into gNB-DU"",
""NG-RAN is split into gNB-CU"",
""gNB-DU performs real-time processing"",
""gNB-CU performs centralized control"",
""gNB-CU performs core interfacing"""
,"gNB‑CU is functionally divided into CU‑CP (control plane) and CU‑UP (user plane), mirroring CUPS design.","""gNB-CU is functionally divided into CU-CP"",
""gNB-CU is functionally divided into CU-UP"",
""gNB-CU functional division mirrors CUPS design"""
,CU‑CP connects to AMF over NG‑AP/SCTP (NG‑C link); CU‑UP transfers data to UPF via NG‑U using GTP‑U.,"""CU-CP connects to AMF"",
""CU-CP–AMF connection uses NG-AP"",
""CU-CP–AMF connection uses SCTP"",
""CU-CP–AMF connection constitutes NG-C link"",
""CU-UP transfers data to UPF""
""Data transfer between CU-UP and UPF occurs via NG-U"",
""Data transfer between CU-UP and UPF uses GTP-U"","
,CUPS architecture enables horizontal scaling and placement flexibility across both RAN and core.,"""CUPS architecture enables horizontal scaling"",
""CUPS architecture enables placement flexibility"",
""Horizontal scaling applies across RAN"",
""Horizontal scaling applies across core"",
""Placement flexibility applies across RAN"",
""Placement flexibility applies across core"""
,"5G NR uses scalable OFDM numerology, ultra-lean design, and beamforming for diverse service support (eMBB, mMTC, URLLC).","""5G NR uses scalable OFDM numerology"",
""5G NR uses ultra-lean design"",
""5G NR uses beamforming"",
""Scalable OFDM numerology supports diverse service types"",
""Ultra-lean design supports diverse service types"",
""Beamforming supports diverse service types"",
""Diverse service types include eMBB"",
""Diverse service types include mMTC"",
""Diverse service types include URLLC"""
,"Separating control and data functions allows independent edge deployment — CU‑UP at edge, CU‑CP centralized — for low latency.","""Separation of control and data functions allows independent edge deployment"",
""Separation of control and data functions allows deploying CU-UP at the edge"",
""Separation of control and data functions allows keeping CU-CP centralized"",
""CU-UP at the edge reduces latency"",
""Independent edge deployment enables low latency"""
,"Functional splits enhance vendor diversity, network slicing, and multi-tenant orchestration in cloud-native environments.","""Functional splits enhance vendor diversity"",
""Functional splits enhance network slicing"",
""Functional splits enhance multi-tenant orchestration"",
""Multi-tenant orchestration occurs in cloud-native environments"""
,NRF centralizes service registry and discovery.,"""NRF centralizes service registry"",
""NRF centralizes service discovery"""
,"Control plane security must encompass confidentiality, integrity, authentication, segmentation, and runtime monitoring across all NF interfaces.","""Control plane security must encompass confidentiality"",
""Control plane security must encompass integrity"",
""Control plane security must encompass authentication"",
""Control plane security must encompass segmentation"",
""Control plane security must encompass runtime monitoring"",
""Confidentiality must apply across all NF interfaces"",
""Integrity must apply across all NF interfaces"",
""Authentication must apply across all NF interfaces"",
""Segmentation must apply across all NF interfaces"",
""Runtime monitoring must apply across all NF interfaces"""
,"AMF manages UE registration, mobility, and NAS signaling.","""AMF manages UE registration"",
""AMF manages mobility"",
""AMF manages NAS signaling"""
,AMF authenticates UE using NAS and passes session control to SMF.,"""AMF authenticates UE using NAS"",
""AMF passes session control to SMF"""
,AMF is control-plane only; it does not handle user traffic.,"""AMF is control-plane only"",
""AMF does not handle user traffic"""
,AMF can redirect UEs to appropriate SMF/UPF combinations based on policies.,"""AMF redirects UEs to appropriate SMF/UPF combinations"",
""AMF selects SMF/UPF combinations based on policies"""
,"AMF is dependent on UDM (for subscription), AUSF (for auth), SMF (for session setup).","""AMF depends on UDM for subscription"",
""AMF depends on AUSF for authentication"",
""AMF depends on SMF for session setup"""
,"AMF uses such interfaces as: N1 (UE-AMF) NAS over IP, N2 (AMF-gNB) NGAP over SCTP, N11 (AMF-SMF) SBI (HTTP/2+JSON).","""AMF uses N1 interface"",
""N1 interface connects UE and AMF"",
""N1 interface carries NAS over IP"",
""AMF uses N2 interface"",
""N2 interface connects AMF and gNB"",
""N2 interface carries NGAP over SCTP"",
""AMF uses N11 interface"",
""N11 interface connects AMF and SMF"",
""N11 interface implements SBI over HTTP/2 + JSON"""
,"SMF handles PDU session lifecycle: setup, modification, and release.","""SMF handles PDU session lifecycle"",
""SMF handles PDU session setup"",
""SMF handles PDU session modification"",
""SMF handles PDU session release"""
,SMF allocates IP addresses and installs traffic steering rules in UPFs.,"""SMF allocates IP addresses"",
""SMF installs traffic steering rules"",
""Traffic steering rules are installed in UPFs"""
,SMF enforces QoS via PCF policies.,"""SMF enforces QoS"",
""SMF uses PCF policies to enforce QoS"""
,"SMF connects to UPFs via PFCP, a protocol designed for fast, stateless user-plane control.","""SMF connects to UPFs"",
""SMF–UPF connection uses PFCP"",
""PFCP is designed for fast user-plane control"",
""PFCP is designed for stateless user-plane control"""
,"SMF uses the following interfaces: N11 (SMF-AMF), N4 (SMF-UPF) PFCP over UDP, and N10 (SMF-UDM).","""SMF uses N11 interface"",
""N11 interface connects SMF and AMF"",
""SMF uses N4 interface"",
""N4 interface connects SMF and UPF"",
""N4 interface uses PFCP"",
""PFCP runs over UDP"",
""SMF uses N10 interface"",
""N10 interface connects SMF and UDM"""
,"SMF is dependent on AMF, UPF, and PCF.","""SMF depends on AMF"",
""SMF depends on UPF"",
""SMF depends on PCF"""
,"SMF exchanges data such as session context, QoS rules, and IP address allocation.","""SMF exchanges session context"",
""SMF exchanges QoS rules"",
""SMF exchanges IP address allocation"""
,SMF uses protocols including HTTP/2 and PFCP.,"""SMF uses HTTP/2"",
""SMF uses PFCP"""
,UPF handles user traffic forwarding and QoS enforcement.,"""UPF handles user traffic forwarding"",
""UPF handles QoS enforcement"""
,UPF forwards traffic between RAN and external data networks.,"""UPF forwards traffic between RAN and external data networks"",
""UPF connects RAN to external data networks"""
,"UPF supports data buffering, downlink packet marking, and traffic shaping.","""UPF supports data buffering"",
""UPF supports downlink packet marking"",
""UPF supports traffic shaping"""
,Multiple UPFs can be deployed regionally to support MEC and network slicing.,"""Multiple UPFs can be deployed regionally"",
""Multiple UPFs support multi-access edge computing (MEC)"",
""Multiple UPFs support network slicing"""
,"UPF uses the following interfaces: N3 (UPF-gNB) GTP-U, N4 (UPF-SMF) PFCP, N6 (UPF-DN) IP forwarding.","""UPF uses N3 interface"",
""N3 interface connects UPF and gNB"",
""N3 interface carries GTP-U"",
""UPF uses N4 interface"",
""N4 interface connects UPF and SMF"",
""N4 interface uses PFCP"",
""UPF uses N6 interface"",
""N6 interface connects UPF and data network (DN)"",
""N6 interface provides IP forwarding"""
,UPF is dependent on SMF.,"""UPF depends on SMF"""
,UPF manages data such as PDU sessions and QoS enforcement rules.,"""UPF manages PDU sessions"",
""UPF manages QoS enforcement rules"""
,UPF uses protocols including PFCP and GTP-U.,"""UPF uses PFCP"",
""UPF uses GTP-U"""
