node_id,parent_id,label,uri
n00001,n01058,10MHzFrequencyDistribution,http://example.org/telecom#10MHzFrequencyDistribution
n00002,n01358,11ActiveStandbyRedundancy,http://example.org/telecom#11ActiveStandbyRedundancy
n00003,n01594,3GPPCompliance,http://example.org/telecom#3GPPCompliance
n00004,n01594,3GPPRelease14,http://example.org/telecom#3GPPRelease14
n00005,n01594,3GPPRelease15,http://example.org/telecom#3GPPRelease15
n00006,n00340,3GPPTS28312IntentSchemas,http://example.org/telecom#3GPPTS28312IntentSchemas
n00007,n01594,3GPPTS29244,http://example.org/telecom#3GPPTS29244
n00008,n00228,464XLAT,http://example.org/telecom#464XLAT
n00009,n00297,4GEPCCore,http://example.org/telecom#4GEPCCore
n00010,n00228,5G,http://example.org/telecom#5G
n00011,n01485,5GAKA,http://example.org/telecom#5GAKA
n00012,n01485,5GAKAProcedures,http://example.org/telecom#5GAKAProcedures
n00013,n01485,5GAuthenticationSession,http://example.org/telecom#5GAuthenticationSession
n00014,n00228,5GC,http://example.org/telecom#5GC
n00015,n00273,5GCNFControlPlaneCommunication,http://example.org/telecom#5GCNFControlPlaneCommunication
n00016,n01060,5GCNFs,http://example.org/telecom#5GCNFs
n00017,n00297,5GCore,http://example.org/telecom#5GCore
n00018,n00297,5GCore5GC,http://example.org/telecom#5GCore5GC
n00019,n00367,5GCoreFunctions,http://example.org/telecom#5GCoreFunctions
n00020,n00366,5GCoreImplementation,http://example.org/telecom#5GCoreImplementation
n00021,n00297,5GCoreNetwork,http://example.org/telecom#5GCoreNetwork
n00022,n01060,5GInfrastructure,http://example.org/telecom#5GInfrastructure
n00023,n01485,5GKeyHierarchy,http://example.org/telecom#5GKeyHierarchy
n00024,n00228,5GNR,http://example.org/telecom#5GNR
n00025,n01313,5GNRRadio,http://example.org/telecom#5GNRRadio
n00026,n01056,5GNetworks,http://example.org/telecom#5GNetworks
n00027,n00365,5GPPPArchitecture,http://example.org/telecom#5GPPPArchitecture
n00028,n01056,5GPrivateNetworkIPAM,http://example.org/telecom#5GPrivateNetworkIPAM
n00029,n01313,5GRange,http://example.org/telecom#5GRange
n00030,n00228,5GSBA,http://example.org/telecom#5GSBA
n00031,n00366,5GSFramework,http://example.org/telecom#5GSFramework
n00032,n01506,5GSlices,http://example.org/telecom#5GSlices
n00033,n01506,5GSlicing,http://example.org/telecom#5GSlicing
n00034,n00228,5GTarget,http://example.org/telecom#5GTarget
