Factoid,Triplet,Object 1,Relationship,Object 2,
5G Core Network is a introduced in 3GPP Release 15.,<object> 5G Core Network <relationship> is introduced in <object> 3GPP Release 15.,5GCoreNetwork,isIntroducedIn,3GPPRelease15,
Service-Based Architecture (SBA) enables dynamic service discovery.,<object> Service-Based Architecture (SBA) <relationship> enables <object> dynamic service discovery.,ServiceBasedArchitectureSBA,enables,DynamicServiceDiscovery,
SBA model decouples service consumer,<object> SBA model <relationship> decouples <object> service consumer,SBAModel,decouples,ServiceConsumer,
Service consumer is decoupled from service provider,<object> Service consumer <relationship> is decoupled from <object> service provider.,ServiceConsumer,isDecoupledFrom,ServiceProvider,
SBA model achieves decoupling via Network Repository Function (NRF),<object> SBA model <relationship> achieves decoupling via <object> Network Repository Function (NRF).,SBAModel,achievesDecouplingVia,NetworkRepositoryFunctionNRF,
Network Repository Function (NRF) mediates interaction between service provider.,<object> Network Repository Function (NRF) <relationship> mediates interaction between <object> service consumer.,NetworkRepositoryFunctionNRF,mediatesInteractionBetween,ServiceConsumer,
Service-Based Architecture (SBA) supports horizontal scalability.,<object> Service-Based Architecture (SBA) <relationship> supports <object> horizontal scalability.,ServiceBasedArchitectureSBA,supports,HorizontalScalability,
5G core functions is a designed as cloud-native components.,<object> 5G core functions <relationship> is_a <object> designed as cloud-native components.,5GCoreFunctions,isA,DesignedAsCloudNativeComponents,
Network Functions (NFs) is a implemented as microservices.,<object> Network Functions (NFs) <relationship> is_a <object> implemented as microservices.,NetworkFunctionsNFs,isA,ImplementedAsMicroservices,
Network Function (NF) runs in isolated execution environments,<object> Network Function (NF) <relationship> runs in <object> isolated execution environments,NetworkFunctionNF,runsIn,IsolatedExecutionEnvironments,
Isolated execution environments is a typically realized as containers.,<object> Isolated execution environment <relationship> typically realized as <object> container.,IsolatedExecutionEnvironment,typicallyRealizedAs,Container,
Microservices support vendor-agnostic deployments,<object> Microservices <relationship> support <object> vendor-agnostic deployments.,Microservices,support,VendorAgnosticDeployments,
Microservices support hardware-agnostic deployments,<object> Microservices <relationship> support <object> hardware-agnostic deployments.,Microservices,support,HardwareAgnosticDeployments,
Container platforms support vendor-agnostic deployments,<object> Container platforms <relationship> support <object> vendor-agnostic deployments.,ContainerPlatforms,support,VendorAgnosticDeployments,
Container platforms support hardware-agnostic deployments,<object> Container platforms <relationship> support <object> hardware-agnostic deployments.,ContainerPlatforms,support,HardwareAgnosticDeployments,
Vendor-agnostic deployments occur in hybrid cloud environments,<object> Vendor-agnostic deployments <relationship> occur in <object> hybrid cloud environments.,VendorAgnosticDeployments,occurIn,HybridCloudEnvironments,
Hardware-agnostic deployments occur in hybrid cloud environments,<object> Hardware-agnostic deployments <relationship> occur in <object> hybrid cloud environments.,HardwareAgnosticDeployments,occurIn,HybridCloudEnvironments,
Cloud-native features allow slicing,<object> Cloud-native features <relationship> allow <object> slicing.,CloudNativeFeatures,allow,Slicing,
